title,firstname,lastname,party,state,district,bioguide_id,birthdate,twitter_id
Sen,Michael,Crapo,R,ID,Senior Seat,C000880,1951-05-20,mikecrapo
Sen,Susan,Collins,R,ME,Senior Seat,C001035,1952-12-07,senatorcollins
Rep,Lois,Capps,D,CA,24,C001036,1938-01-10,RepLoisCapps
Rep,Joseph,Crowley,D,NY,14,C001038,1962-03-16,repjoecrowley
Rep,Ander,Crenshaw,R,FL,4,C001045,1944-09-01,AnderCrenshaw
Rep,Eric,Cantor,R,VA,7,C001046,1963-06-06,gopleader
Rep,Shelley,Capito,R,WV,2,C001047,1953-11-26,RepShelley
Rep,John,Culberson,R,TX,7,C001048,1956-08-24,congculberson
Rep,John,Carter,R,TX,31,C001051,1941-11-06,JudgeCarter
Rep,Tom,Cole,R,OK,4,C001053,1949-04-28,tomcoleok04
Sen,John,Cornyn,R,TX,Senior Seat,C001056,1952-02-02,JohnCornyn
Rep,Jim,Costa,D,CA,16,C001059,1952-04-13,repjimcosta
Rep,Emanuel,Cleaver,D,MO,5,C001061,1944-10-26,repcleaver
Rep,K.,Conaway,R,TX,11,C001062,1948-06-11,ConawayTX11
Rep,Henry,Cuellar,D,TX,28,C001063,1955-09-19,RepCuellar
Rep,John,Campbell,R,CA,45,C001064,1955-07-19,RepJohnCampbell
Rep,Yvette,Clarke,D,NY,9,C001067,1964-11-21,YvetteClarke
Rep,Steve,Cohen,D,TN,9,C001068,1949-05-24,repcohen
Rep,Joe,Courtney,D,CT,2,C001069,1953-04-06,repjoecourtney
Sen,Robert,Casey,D,PA,Senior Seat,C001070,1960-04-13,SenBobCasey
Sen,Bob,Corker,R,TN,Junior Seat,C001071,1952-08-24,SenBobCorker
Rep,André,Carson,D,IN,7,C001072,1974-10-16,RepAndreCarson
Rep,Jason,Chaffetz,R,UT,3,C001076,1967-03-26,jasoninthehouse
Rep,Mike,Coffman,R,CO,6,C001077,1955-03-19,RepMikeCoffman
Rep,Gerald,Connolly,D,VA,11,C001078,1950-03-30,GerryConnolly
Rep,Judy,Chu,D,CA,27,C001080,1953-07-07,RepJudyChu
Rep,John,Carney,D,DE,0,C001083,1956-05-20,johncarneyde
Rep,David,Cicilline,D,RI,1,C001084,1961-07-15,repcicilline
Rep,Eric,Crawford,R,AR,1,C001087,1966-01-22,RepRickCrawford
Sen,Chris,Coons,D,DE,Junior Seat,C001088,1963-09-09,SenCoonsOffice
Rep,Matthew,Cartwright,D,PA,17,C001090,1961-05-01,RepCartwright
Rep,Joaquin,Castro,D,TX,20,C001091,1974-09-16,JoaquinCastrotx
Rep,Chris,Collins,R,NY,27,C001092,1950-05-20,RepChrisCollins
Rep,Doug,Collins,R,GA,9,C001093,1966-08-16,RepDougCollins
Rep,Paul,Cook,R,CA,8,C001094,1943-03-03,RepPaulCook
Rep,Tom,Cotton,R,AR,4,C001095,1977-05-13,RepTomCotton
Rep,Kevin,Cramer,R,ND,0,C001096,1961-01-21,RepKevinCramer
Sen,Ted,Cruz,R,TX,Junior Seat,C001098,1970-12-22,SenTedCruz
Rep,Peter,DeFazio,D,OR,4,D000191,1947-05-27,RepPeterDeFazio
Rep,Diana,DeGette,D,CO,1,D000197,1957-07-29,RepDianaDeGette
Rep,Rosa,DeLauro,D,CT,3,D000216,1943-03-02,rosadelauro
Rep,John,Dingell,D,MI,12,D000355,1926-07-08,john_dingell
Rep,Lloyd,Doggett,D,TX,35,D000399,1946-10-06,RepLloydDoggett
Rep,Michael,Doyle,D,PA,14,D000482,1953-08-05,USRepMikeDoyle
Sen,Richard,Durbin,D,IL,Senior Seat,D000563,1944-11-21,SenatorDurbin
Rep,Mario,Diaz-Balart,R,FL,25,D000600,1961-09-25,MarioDB
Sen,Joe,Donnelly,D,IN,Junior Seat,D000607,1955-09-28,SenDonnelly
Rep,Theodore,Deutch,D,FL,21,D000610,1966-05-07,repteddeutch
Rep,Jeff,Denham,R,CA,10,D000612,1967-07-29,RepJeffDenham
Rep,Sean,Duffy,R,WI,7,D000614,1971-10-03,RepSeanDuffy
Rep,Jeff,Duncan,R,SC,3,D000615,1966-01-07,RepJeffDuncan
Rep,Scott,DesJarlais,R,TN,4,D000616,1964-02-21,DesJarlaisTN04
Rep,Suzan,DelBene,D,WA,1,D000617,1962-02-17,RepDelBene
Rep,Steve,Daines,R,MT,0,D000618,1962-08-20,stevedaines
Rep,Rodney,Davis,R,IL,13,D000619,1970-01-05,RodneyDavis
Rep,John,Delaney,D,MD,6,D000620,1963-04-16,RepJohnDelaney
Rep,Ron,DeSantis,R,FL,6,D000621,1978-09-14,RepDeSantis
Rep,Tammy,Duckworth,D,IL,8,D000622,1968-03-12,repduckworth
Rep,Eliot,Engel,D,NY,16,E000179,1947-02-18,RepEliotEngel
Rep,Anna,Eshoo,D,CA,18,E000215,1942-12-13,RepAnnaEshoo
Sen,Michael,Enzi,R,WY,Senior Seat,E000285,1944-02-01,SenatorEnzi
Rep,Keith,Ellison,D,MN,5,E000288,1963-08-04,keithellison
Rep,Donna,Edwards,D,MD,4,E000290,1958-06-28,repdonnaedwards
Rep,Renee,Ellmers,R,NC,2,E000291,1964-02-09,RepReneeEllmers
Rep,William,Enyart,D,IL,12,E000292,1949-09-22,repbillenyart
Rep,Elizabeth,Esty,D,CT,5,E000293,1959-08-25,RepEsty
Rep,Sam,Farr,D,CA,20,F000030,1941-07-04,RepSamFarr
Rep,Chaka,Fattah,D,PA,2,F000043,1956-11-21,chakafattah
Sen,Dianne,Feinstein,D,CA,Senior Seat,F000062,1933-06-22,senfeinstein
Sen,Jeff,Flake,R,AZ,Junior Seat,F000444,1962-12-31,jeffflake
Rep,J.,Forbes,R,VA,4,F000445,1952-02-17,Randy_Forbes
Rep,Trent,Franks,R,AZ,8,F000448,1957-06-19,RepTrentFranks
Rep,Jeff,Fortenberry,R,NE,1,F000449,1960-12-27,JeffFortenberry
Rep,Virginia,Foxx,R,NC,5,F000450,1943-06-29,virginiafoxx
Rep,Michael,Fitzpatrick,R,PA,8,F000451,1963-06-28,RepFitzpatrick
Rep,Bill,Foster,D,IL,11,F000454,1955-10-07,RepBillFoster
Rep,Marcia,Fudge,D,OH,11,F000455,1952-10-29,RepMarciaFudge
Rep,John,Fleming,R,LA,4,F000456,1951-07-05,RepFleming
Rep,Stephen,Fincher,R,TN,8,F000458,1973-02-07,RepFincherTN08
Rep,Charles,Fleischmann,R,TN,3,F000459,1962-10-11,RepChuck
Rep,Blake,Farenthold,R,TX,27,F000460,1962-12-12,farenthold
Rep,Bill,Flores,R,TX,17,F000461,1954-02-25,RepBillFlores
Rep,Lois,Frankel,D,FL,22,F000462,1948-05-16,RepLoisFrankel
Sen,Deb,Fischer,R,NE,Junior Seat,F000463,1951-03-01,SenatorFischer
Rep,Bob,Goodlatte,R,VA,6,G000289,1952-09-22,RepGoodlatte
Sen,Lindsey,Graham,R,SC,Senior Seat,G000359,1955-07-09,GrahamBlog
Rep,Kay,Granger,R,TX,12,G000377,1943-01-18,RepKayGranger
Sen,Charles,Grassley,R,IA,Senior Seat,G000386,1933-09-17,ChuckGrassley
Rep,Gene,Green,D,TX,29,G000410,1947-10-17,RepGeneGreen
Rep,Luis,Gutierrez,D,IL,4,G000535,1953-12-10,LuisGutierrez
Rep,Scott,Garrett,R,NJ,5,G000548,1959-07-09,repgarrett
Rep,Jim,Gerlach,R,PA,6,G000549,1955-02-25,JimGerlach
Rep,Phil,Gingrey,R,GA,11,G000550,1942-07-10,RepPhilGingrey
Rep,Raúl,Grijalva,D,AZ,3,G000551,1948-02-19,repraulgrijalva
Rep,Louie,Gohmert,R,TX,1,G000552,1953-08-18,replouiegohmert
Rep,Al,Green,D,TX,9,G000553,1947-09-01,RepAlGreen
Rep,John,Garamendi,D,CA,3,G000559,1945-01-24,RepGaramendi
Rep,Tom,Graves,R,GA,14,G000560,1970-02-03,reptomgraves
Rep,Cory,Gardner,R,CO,4,G000562,1974-08-22,repcorygardner
Rep,Bob,Gibbs,R,OH,7,G000563,1954-06-14,repbobgibbs
Rep,Christopher,Gibson,R,NY,19,G000564,1964-05-13,RepChrisGibson
Rep,Paul,Gosar,R,AZ,4,G000565,1958-11-22,RepGosar
Rep,Trey,Gowdy,R,SC,4,G000566,1964-08-22,tgowdysc
Rep,Tim,Griffin,R,AR,2,G000567,1968-08-21,RepTimGriffin
Rep,H.,Griffith,R,VA,9,G000568,1958-03-15,RepMGriffith
Rep,Michael,Grimm,R,NY,11,G000569,1970-02-07,repmichaelgrimm
Rep,Tulsi,Gabbard,D,HI,2,G000571,1981-04-12,tulsipress
Rep,Pete,Gallego,D,TX,23,G000572,1961-12-02,RepPeteGallego
Sen,Thomas,Harkin,D,IA,Junior Seat,H000206,1939-11-19,SenatorHarkin
Rep,Doc,Hastings,R,WA,4,H000329,1941-02-07,DocHastings
Sen,Orrin,Hatch,R,UT,Senior Seat,H000338,1934-03-22,SenOrrinHatch
Rep,Rubén,Hinojosa,D,TX,15,H000636,1940-08-20,USRepRHinojosa
Rep,Steny,Hoyer,D,MD,5,H000874,1939-06-14,WhipHoyer
Rep,Michael,Honda,D,CA,17,H001034,1941-06-27,RepMikeHonda
Rep,Jeb,Hensarling,R,TX,5,H001036,1957-05-29,RepHensarling
Rep,Brian,Higgins,D,NY,26,H001038,1959-10-06,RepBrianHiggins
Sen,Dean,Heller,R,NV,Junior Seat,H001041,1960-05-10,SenDeanHeller
Sen,Mazie,Hirono,D,HI,Junior Seat,H001042,1947-11-03,maziehirono
Rep,Gregg,Harper,R,MS,3,H001045,1956-06-01,GreggHarper
Sen,Martin,Heinrich,D,NM,Junior Seat,H001046,1971-10-17,martinheinrich
Rep,James,Himes,D,CT,4,H001047,1966-07-05,jahimes
Sen,Kay,Hagan,D,NC,Junior Seat,H001049,1953-05-26,SenatorHagan
Rep,Colleen,Hanabusa,D,HI,1,H001050,1951-05-04,RepHanabusa
Rep,Richard,Hanna,R,NY,22,H001051,1951-01-25,RepRichardHanna
Rep,Andy,Harris,R,MD,1,H001052,1957-01-25,repandyharrismd
Rep,Vicky,Hartzler,R,MO,4,H001053,1960-10-13,RepHartzler
Rep,Joseph,Heck,R,NV,3,H001055,1961-10-30,RepJoeHeck
Rep,Jaime,Herrera Beutler,R,WA,3,H001056,1978-11-03,herrerabeutler
Rep,Tim,Huelskamp,R,KS,1,H001057,1968-11-11,conghuelskamp
Rep,Bill,Huizenga,R,MI,2,H001058,1969-01-31,rephuizenga
Rep,Randy,Hultgren,R,IL,14,H001059,1966-03-01,rephultgren
Rep,Robert,Hurt,R,VA,5,H001060,1969-06-16,RepRobertHurt
Sen,John,Hoeven,R,ND,Senior Seat,H001061,1957-03-13,SenJohnHoeven
Rep,Janice,Hahn,D,CA,44,H001063,1952-03-30,Rep_JaniceHahn
Rep,Denny,Heck,D,WA,10,H001064,1952-07-29,RepDennyHeck
Rep,George,Holding,R,NC,13,H001065,1968-04-17,RepHolding
Rep,Steven,Horsford,D,NV,4,H001066,1973-04-29,RepHorsford
Rep,Richard,Hudson,R,NC,8,H001067,1971-11-04,RepRichHudson
Rep,Jared,Huffman,D,CA,2,H001068,1964-02-18,RepHuffman
Sen,Heidi,Heitkamp,D,ND,Junior Seat,H001069,1955-10-30,SenatorHeitkamp
Sen,James,Inhofe,R,OK,Senior Seat,I000024,1934-11-17,InhofePress
Rep,Darrell,Issa,R,CA,49,I000056,1953-11-01,DarrellIssa
Rep,Steve,Israel,D,NY,3,I000057,1958-05-30,RepSteveIsrael
Rep,Sheila,Jackson Lee,D,TX,18,J000032,1950-01-12,JacksonLeeTX18
Rep,Eddie,Johnson,D,TX,30,J000126,1935-12-03,RepEBJ
Rep,Sam,Johnson,R,TX,3,J000174,1930-10-11,SamsPressShop
Sen,Tim,Johnson,D,SD,Senior Seat,J000177,1946-12-28,SenJohnsonSD
Rep,Walter,Jones,R,NC,3,J000255,1943-02-10,RepWalterJones
Rep,Henry,Johnson,D,GA,4,J000288,1954-10-02,RepHankJohnson
Rep,Jim,Jordan,R,OH,4,J000289,1964-02-17,Jim_Jordan
Rep,Lynn,Jenkins,R,KS,2,J000290,1963-06-10,RepLynnJenkins
Sen,Mike,Johanns,R,NE,Senior Seat,J000291,1950-06-18,Mike_Johanns
Rep,Bill,Johnson,R,OH,6,J000292,1954-11-10,repbilljohnson
Sen,Ron,Johnson,R,WI,Senior Seat,J000293,1955-04-08,SenRonJohnson
Rep,Hakeem,Jeffries,D,NY,8,J000294,1970-08-04,HakeemJeffries
Rep,David,Joyce,R,OH,14,J000295,1957-03-17,RepDaveJoyce
Rep,Marcy,Kaptur,D,OH,9,K000009,1946-06-17,RepMarcyKaptur
Rep,Ron,Kind,D,WI,3,K000188,1963-03-16,repronkind
Rep,Peter,King,R,NY,2,K000210,1944-04-05,RepPeteKing
Rep,Jack,Kingston,R,GA,1,K000220,1955-04-24,JackKingston
Sen,Mark,Kirk,R,IL,Junior Seat,K000360,1959-09-15,senatorkirk
Rep,Steve,King,R,IA,4,K000362,1949-05-28,stevekingia
Rep,John,Kline,R,MN,2,K000363,1947-09-06,repjohnkline
Rep,Ann,Kirkpatrick,D,AZ,1,K000368,1950-03-24,RepKirkpatrick
Rep,William,Keating,D,MA,9,K000375,1952-09-06,USRepKeating
Rep,Mike,Kelly,R,PA,3,K000376,1948-05-10,MikeKellyPA
Rep,Adam,Kinzinger,R,IL,16,K000378,1978-02-27,RepKinzinger
Rep,Joseph,Kennedy,D,MA,4,K000379,1980-10-04,RepJoeKennedy
Rep,Daniel,Kildee,D,MI,5,K000380,1958-08-11,RepDanKildee
Rep,Derek,Kilmer,D,WA,6,K000381,1974-01-01,RepDerekKilmer
Rep,Ann,Kuster,D,NH,2,K000382,1956-09-05,RepAnnieKuster
Sen,Angus,King,I,ME,Junior Seat,K000383,1944-03-31,SenAngusKing
Rep,Tom,Latham,R,IA,3,L000111,1948-07-14,TomLatham
Sen,Frank,Lautenberg,D,NJ,Senior Seat,L000123,1924-01-23,franklautenberg
Sen,Patrick,Leahy,D,VT,Senior Seat,L000174,1940-03-31,SenatorLeahy
Sen,Carl,Levin,D,MI,Senior Seat,L000261,1934-06-28,sencarllevin
Rep,Sander,Levin,D,MI,9,L000263,1931-09-06,repsandylevin
Rep,John,Lewis,D,GA,5,L000287,1940-02-21,RepJohnLewis
Rep,Zoe,Lofgren,D,CA,19,L000397,1947-12-21,RepZoeLofgren
Rep,Nita,Lowey,D,NY,17,L000480,1937-07-05,NitaLowey
Sen,Mary,Landrieu,D,LA,Senior Seat,L000550,1955-11-23,senlandrieu
Rep,Barbara,Lee,D,CA,13,L000551,1946-07-16,repbarbaralee
Rep,Frank,LoBiondo,R,NJ,2,L000554,1946-05-12,RepLoBiondo
Rep,John,Larson,D,CT,1,L000557,1948-07-22,repjohnlarson
Rep,James,Langevin,D,RI,2,L000559,1964-04-22,jimlangevin
Rep,Rick,Larsen,D,WA,2,L000560,1965-06-15,RepRickLarsen
Rep,Stephen,Lynch,D,MA,8,L000562,1955-03-31,RepStephenLynch
Rep,Doug,Lamborn,R,CO,5,L000564,1954-05-24,RepDLamborn
Rep,David,Loebsack,D,IA,2,L000565,1952-12-23,daveloebsack
Rep,Robert,Latta,R,OH,5,L000566,1956-04-18,boblatta
Rep,Ben,Luján,D,NM,3,L000570,1972-06-07,repbenraylujan
Rep,Cynthia,Lummis,R,WY,0,L000571,1954-09-10,CynthiaLummis
Rep,Raúl,Labrador,R,ID,1,L000573,1967-12-08,Raul_Labrador
Rep,James,Lankford,R,OK,5,L000575,1968-03-04,replankford
Sen,Mike,Lee,R,UT,Junior Seat,L000577,1971-06-04,SenMikeLee
Rep,Doug,LaMalfa,R,CA,1,L000578,1960-07-02,RepLaMalfa
Rep,Alan,Lowenthal,D,CA,47,L000579,1941-03-08,RepLowenthal
Rep,Michelle,Lujan Grisham,D,NM,1,L000580,1959-10-24,replujangrisham
Rep,Carolyn,Maloney,D,NY,12,M000087,1946-02-19,RepMaloney
Rep,Edward,Markey,D,MA,5,M000133,1946-07-11,markeymemo
Sen,John,McCain,R,AZ,Senior Seat,M000303,1936-08-29,SenJohnMcCain
Rep,Carolyn,McCarthy,D,NY,4,M000309,1944-01-05,RepMcCarthyNY
Rep,James,McGovern,D,MA,2,M000312,1959-11-20,RepMcGovern
Sen,Mitch,McConnell,R,KY,Senior Seat,M000355,1942-02-20,McConnellPress
Rep,Jim,McDermott,D,WA,7,M000404,1936-12-28,RepJimMcDermott
Rep,Mike,McIntyre,D,NC,7,M000485,1956-08-06,repmikemcintyre
Rep,Howard,McKeon,R,CA,25,M000508,1938-09-09,BuckMcKeon
Sen,Robert,Menéndez,D,NJ,Junior Seat,M000639,1954-01-01,SenatorMenendez
Sen,Barbara,Mikulski,D,MD,Senior Seat,M000702,1936-07-20,senatorbarb
Rep,George,Miller,D,CA,11,M000725,1945-05-17,askgeorge
Rep,James,Moran,D,VA,8,M000933,1945-05-16,Jim_Moran
Sen,Jerry,Moran,R,KS,Junior Seat,M000934,1954-05-29,JerryMoran
Sen,Patty,Murray,D,WA,Senior Seat,M001111,1950-10-11,pattymurray
Rep,Gregory,Meeks,D,NY,5,M001137,1953-09-25,GregoryMeeks
Rep,Gary,Miller,R,CA,31,M001139,1948-10-16,repgarymiller
Rep,Jim,Matheson,D,UT,4,M001142,1960-03-21,RepJimMatheson
Rep,Betty,McCollum,D,MN,4,M001143,1954-07-12,BettyMcCollum04
Rep,Michael,Michaud,D,ME,2,M001149,1955-01-18,RepMikeMichaud
Rep,Candice,Miller,R,MI,10,M001150,1954-05-07,CandiceMiller
Rep,Tim,Murphy,R,PA,18,M001151,1952-09-11,RepTimMurphy
Sen,Lisa,Murkowski,R,AK,Senior Seat,M001153,1957-05-22,lisamurkowski
Rep,Patrick,McHenry,R,NC,10,M001156,1975-10-22,PatrickMcHenry
Rep,Michael,McCaul,R,TX,10,M001157,1962-01-14,McCaulPressShop
Rep,Kenny,Marchant,R,TX,24,M001158,1951-02-23,RepKenMarchant
Rep,Cathy,McMorris Rodgers,R,WA,5,M001159,1969-05-22,cathymcmorris
Rep,Gwen,Moore,D,WI,4,M001160,1951-04-18,RepGwenMoore
Rep,Doris,Matsui,D,CA,6,M001163,1944-09-25,DorisMatsui
Rep,Kevin,McCarthy,R,CA,23,M001165,1965-01-26,GOPWhip
Rep,Jerry,McNerney,D,CA,9,M001166,1951-06-18,RepMcNerney
Sen,Claire,McCaskill,D,MO,Senior Seat,M001170,1953-07-24,mccaskilloffice
Rep,Daniel,Maffei,D,NY,24,M001171,1968-07-04,RepDanMaffei
Sen,Jeff,Merkley,D,OR,Junior Seat,M001176,1956-10-24,SenJeffMerkley
Rep,Tom,McClintock,R,CA,4,M001177,1956-07-10,RepMcClintock
Rep,Tom,Marino,R,PA,10,M001179,1952-08-15,RepTomMarino
Rep,David,McKinley,R,WV,1,M001180,1947-03-28,RepMcKinley
Rep,Patrick,Meehan,R,PA,7,M001181,1955-10-20,repmeehan
Rep,Mick,Mulvaney,R,SC,5,M001182,1967-07-21,repmickmulvaney
Sen,Joe,Manchin,D,WV,Junior Seat,M001183,1947-08-24,Sen_JoeManchin
Rep,Sean,Maloney,D,NY,18,M001185,1966-07-30,RepSeanMaloney
Rep,Mark,Meadows,R,NC,11,M001187,1959-07-28,RepMarkMeadows
Rep,Grace,Meng,D,NY,6,M001188,1975-10-01,RepGraceMeng
Rep,Luke,Messer,R,IN,6,M001189,1969-02-27,RepLukeMesser
Rep,Markwayne,Mullin,R,OK,2,M001190,1977-07-26,RepMullin
Rep,Patrick,Murphy,D,FL,18,M001191,1983-03-30,RepMurphyFL
Rep,Jerrold,Nadler,D,NY,10,N000002,1947-06-13,RepJerryNadler
Rep,Richard,Neal,D,MA,1,N000015,1949-02-14,RepRichardNeal
Sen,Bill,Nelson,D,FL,Senior Seat,N000032,1942-09-29,SenBillNelson
Rep,Richard,Nolan,D,MN,8,N000127,1943-12-17,usrepricknolan
Rep,Eleanor,Norton,D,DC,0,N000147,1937-06-13,EleanorNorton
Rep,Grace,Napolitano,D,CA,32,N000179,1936-12-04,gracenapolitano
Rep,Devin,Nunes,R,CA,22,N000181,1973-10-01,Rep_DevinNunes
Rep,Randy,Neugebauer,R,TX,19,N000182,1949-12-24,RandyNeugebauer
Rep,Kristi,Noem,R,SD,0,N000184,1971-11-30,repkristinoem
Rep,Richard,Nugent,R,FL,11,N000185,1951-05-26,RepRichNugent
Rep,Alan,Nunnelee,R,MS,1,N000186,1958-10-09,repalannunnelee
Rep,Gloria,Negrete McLeod,D,CA,35,N000187,1941-09-06,RepMcLeod
Rep,Pete,Olson,R,TX,22,O000168,1962-12-09,OlsonPressShop
Rep,William,Owens,D,NY,21,O000169,1949-01-20,BillOwensNY
Rep,Beto,O'Rourke,D,TX,16,O000170,1972-09-26,betoorourketx16
Rep,Frank,Pallone,D,NJ,6,P000034,1951-10-30,FrankPallone
Rep,Bill,Pascrell,D,NJ,9,P000096,1937-01-25,BillPascrell
Rep,Nancy,Pelosi,D,CA,12,P000197,1940-03-26,NancyPelosi
Rep,Joseph,Pitts,R,PA,16,P000373,1939-10-10,RepJoePitts
Sen,Robert,Portman,R,OH,Junior Seat,P000449,1955-12-19,robportman
Rep,David,Price,D,NC,4,P000523,1940-08-17,RepDavidEPrice
Rep,Stevan,Pearce,R,NM,2,P000588,1947-08-24,RepStevePearce
Sen,Mark,Pryor,D,AR,Senior Seat,P000590,1963-01-10,senmarkpryor
Rep,Tom,Price,R,GA,6,P000591,1954-10-08,RepTomPrice
Rep,Ted,Poe,R,TX,2,P000592,1948-09-10,JudgeTedPoe
Rep,Ed,Perlmutter,D,CO,7,P000593,1953-05-01,RepPerlmutter
Rep,Erik,Paulsen,R,MN,3,P000594,1965-05-14,RepErikPaulsen
Rep,Gary,Peters,D,MI,14,P000595,1958-12-01,RepGaryPeters
Rep,Pedro,Pierluisi,D,PR,0,P000596,1959-04-26,pedropierluisi
Rep,Chellie,Pingree,D,ME,1,P000597,1955-04-02,chelliepingree
Rep,Jared,Polis,D,CO,2,P000598,1975-05-12,RepPolisPress
Rep,Bill,Posey,R,FL,8,P000599,1947-12-18,congbillposey
Rep,Steven,Palazzo,R,MS,4,P000601,1970-02-21,congpalazzo
Rep,Mike,Pompeo,R,KS,4,P000602,1963-12-30,repmikepompeo
Sen,Rand,Paul,R,KY,Junior Seat,P000603,1963-01-07,SenRandPaul
